item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0223,1,757.35,0,757.35
ITEM00002,TXN00001,PROD0255,2,378.77,10,681.79
ITEM00003,TXN00001,PROD0003,1,768.81,10,691.93
ITEM00004,TXN00002,PROD0389,3,837.94,5,2388.13
ITEM00005,TXN00002,PROD0047,1,344.57,15,292.88
ITEM00006,TXN00003,PROD0118,1,443.64,10,399.28
ITEM00007,TXN00003,PROD0224,2,848.09,0,1696.18
ITEM00008,TXN00004,PROD0299,3,356.54,10,962.66
ITEM00009,TXN00005,PROD0322,2,906.19,0,1812.38
ITEM00010,TXN00006,PROD0123,3,918.93,15,2343.27
ITEM00011,TXN00007,PROD0318,1,998.36,10,898.52
ITEM00012,TXN00007,PROD0369,2,113.81,15,193.48
ITEM00013,TXN00007,PROD0262,3,189.9,10,512.73
ITEM00014,TXN00007,PROD0143,3,975.73,0,2927.19
ITEM00015,TXN00008,PROD0161,1,462.24,10,416.02
ITEM00016,TXN00008,PROD0057,1,988.43,0,988.43
ITEM00017,TXN00008,PROD0022,2,581.16,5,1104.2
ITEM00018,TXN00008,PROD0291,2,271.95,0,543.9
ITEM00019,TXN00009,PROD0284,1,890.71,0,890.71
ITEM00020,TXN00009,PROD0496,2,567.33,5,1077.93
ITEM00021,TXN00009,PROD0010,2,692.44,15,1177.15
ITEM00022,TXN00009,PROD0332,1,921.03,10,828.93
ITEM00023,TXN00010,PROD0229,1,155.75,5,147.96
ITEM00024,TXN00011,PROD0348,2,390.6,10,703.08
ITEM00025,TXN00011,PROD0025,3,440.33,0,1320.99
ITEM00026,TXN00011,PROD0322,3,906.19,5,2582.64
ITEM00027,TXN00012,PROD0114,3,932.18,10,2516.89
ITEM00028,TXN00012,PROD0061,2,38.73,15,65.84
ITEM00029,TXN00012,PROD0333,3,174.31,15,444.49
ITEM00030,TXN00012,PROD0144,3,200.83,15,512.12
ITEM00031,TXN00013,PROD0497,2,654.03,0,1308.06
ITEM00032,TXN00014,PROD0353,1,726.42,15,617.46
ITEM00033,TXN00014,PROD0466,2,736.89,5,1400.09
ITEM00034,TXN00014,PROD0256,2,991.36,5,1883.58
ITEM00035,TXN00014,PROD0389,2,837.94,0,1675.88
ITEM00036,TXN00015,PROD0048,1,773.64,5,734.96
ITEM00037,TXN00015,PROD0419,3,941.37,10,2541.7
ITEM00038,TXN00015,PROD0088,1,468.3,5,444.88
ITEM00039,TXN00015,PROD0148,2,229.42,0,458.84
ITEM00040,TXN00016,PROD0375,3,608.3,0,1824.9
ITEM00041,TXN00017,PROD0143,1,975.73,15,829.37
ITEM00042,TXN00017,PROD0001,1,676.71,5,642.87
ITEM00043,TXN00018,PROD0391,1,862.14,5,819.03
ITEM00044,TXN00018,PROD0406,3,736.68,0,2210.04
ITEM00045,TXN00019,PROD0115,2,941.17,5,1788.22
ITEM00046,TXN00019,PROD0435,3,295.42,10,797.63
ITEM00047,TXN00020,PROD0380,2,291.69,5,554.21
ITEM00048,TXN00020,PROD0291,1,271.95,5,258.35
ITEM00049,TXN00020,PROD0156,1,111.61,5,106.03
ITEM00050,TXN00020,PROD0323,1,528.15,10,475.33
ITEM00051,TXN00021,PROD0121,3,839.65,15,2141.11
ITEM00052,TXN00021,PROD0357,2,564.93,10,1016.87
ITEM00053,TXN00021,PROD0381,2,145.11,10,261.2
ITEM00054,TXN00022,PROD0289,3,513.58,0,1540.74
ITEM00055,TXN00022,PROD0094,2,802.82,15,1364.79
ITEM00056,TXN00022,PROD0423,1,342.61,10,308.35
ITEM00057,TXN00022,PROD0254,2,348.63,0,697.26
ITEM00058,TXN00023,PROD0310,1,23.3,15,19.8
ITEM00059,TXN00023,PROD0439,2,989.44,5,1879.94
ITEM00060,TXN00023,PROD0500,1,580.57,10,522.51
ITEM00061,TXN00024,PROD0097,1,242.67,10,218.4
ITEM00062,TXN00024,PROD0104,2,253.34,15,430.68
ITEM00063,TXN00025,PROD0283,1,466.16,0,466.16
ITEM00064,TXN00025,PROD0166,3,438.69,5,1250.27
ITEM00065,TXN00025,PROD0088,3,468.3,10,1264.41
ITEM00066,TXN00026,PROD0244,2,26.78,15,45.53
ITEM00067,TXN00026,PROD0049,1,647.37,10,582.63
ITEM00068,TXN00026,PROD0342,3,712.32,0,2136.96
ITEM00069,TXN00027,PROD0317,2,683.32,0,1366.64
ITEM00070,TXN00027,PROD0059,1,565.34,5,537.07
ITEM00071,TXN00027,PROD0231,3,450.47,15,1148.7
ITEM00072,TXN00027,PROD0330,3,244.22,15,622.76
ITEM00073,TXN00028,PROD0017,1,57.53,10,51.78
ITEM00074,TXN00029,PROD0173,2,863.3,0,1726.6
ITEM00075,TXN00030,PROD0416,1,690.86,0,690.86
ITEM00076,TXN00030,PROD0235,2,987.89,0,1975.78
ITEM00077,TXN00030,PROD0320,3,144.29,0,432.87
ITEM00078,TXN00030,PROD0329,3,137.43,5,391.68
ITEM00079,TXN00030,PROD0033,2,35.01,15,59.52
ITEM00080,TXN00031,PROD0428,2,12.17,10,21.91
ITEM00081,TXN00032,PROD0065,3,70.99,15,181.02
ITEM00082,TXN00033,PROD0170,3,195.7,0,587.1
ITEM00083,TXN00033,PROD0316,3,107.12,15,273.16
ITEM00084,TXN00033,PROD0154,1,289.31,15,245.91
ITEM00085,TXN00033,PROD0452,3,826.46,15,2107.47
ITEM00086,TXN00033,PROD0317,2,683.32,0,1366.64
ITEM00087,TXN00034,PROD0217,1,180.1,10,162.09
ITEM00088,TXN00034,PROD0013,1,905.45,10,814.91
ITEM00089,TXN00034,PROD0339,3,853.87,0,2561.61
ITEM00090,TXN00035,PROD0336,2,355.95,10,640.71
ITEM00091,TXN00035,PROD0248,3,45.98,10,124.15
ITEM00092,TXN00035,PROD0254,2,348.63,5,662.4
ITEM00093,TXN00036,PROD0394,1,985.17,5,935.91
ITEM00094,TXN00036,PROD0347,1,169.97,15,144.47
ITEM00095,TXN00036,PROD0386,2,385.56,15,655.45
ITEM00096,TXN00037,PROD0012,3,669.95,15,1708.37
ITEM00097,TXN00037,PROD0124,2,829.79,0,1659.58
ITEM00098,TXN00037,PROD0136,2,930.82,0,1861.64
ITEM00099,TXN00037,PROD0479,3,469.22,15,1196.51
ITEM00100,TXN00038,PROD0458,1,132.81,10,119.53
ITEM00101,TXN00039,PROD0247,3,897.59,15,2288.85
ITEM00102,TXN00039,PROD0396,3,321.65,5,916.7
ITEM00103,TXN00039,PROD0308,2,86.3,10,155.34
ITEM00104,TXN00039,PROD0456,3,802.21,0,2406.63
ITEM00105,TXN00039,PROD0295,2,909.25,5,1727.57
ITEM00106,TXN00040,PROD0492,2,198.97,15,338.25
ITEM00107,TXN00041,PROD0148,3,229.42,10,619.43
ITEM00108,TXN00041,PROD0015,3,227.2,15,579.36
ITEM00109,TXN00041,PROD0389,2,837.94,15,1424.5
ITEM00110,TXN00041,PROD0262,2,189.9,5,360.81
ITEM00111,TXN00041,PROD0117,1,903.74,0,903.74
ITEM00112,TXN00042,PROD0458,3,132.81,5,378.51
ITEM00113,TXN00042,PROD0052,3,527.52,15,1345.18
ITEM00114,TXN00042,PROD0106,2,859.02,5,1632.14
ITEM00115,TXN00042,PROD0249,2,309.83,15,526.71
ITEM00116,TXN00043,PROD0078,1,548.69,10,493.82
ITEM00117,TXN00043,PROD0496,1,567.33,5,538.96
ITEM00118,TXN00043,PROD0385,3,319.77,0,959.31
ITEM00119,TXN00043,PROD0090,3,118.13,0,354.39
ITEM00120,TXN00044,PROD0416,3,690.86,15,1761.69
ITEM00121,TXN00044,PROD0002,3,675.27,0,2025.81
ITEM00122,TXN00045,PROD0363,3,964.25,15,2458.84
ITEM00123,TXN00045,PROD0250,3,438.96,0,1316.88
ITEM00124,TXN00045,PROD0431,1,308.25,15,262.01
ITEM00125,TXN00045,PROD0362,1,786.54,0,786.54
ITEM00126,TXN00045,PROD0030,2,694.89,10,1250.8
ITEM00127,TXN00046,PROD0128,1,412.11,0,412.11
ITEM00128,TXN00047,PROD0410,3,383.54,15,978.03
ITEM00129,TXN00047,PROD0121,1,839.65,0,839.65
ITEM00130,TXN00047,PROD0222,2,620.13,15,1054.22
ITEM00131,TXN00047,PROD0212,3,869.86,5,2479.1
ITEM00132,TXN00048,PROD0284,1,890.71,5,846.17
ITEM00133,TXN00048,PROD0263,1,580.62,10,522.56
ITEM00134,TXN00048,PROD0476,2,615.75,10,1108.35
ITEM00135,TXN00048,PROD0190,3,958.58,5,2731.95
ITEM00136,TXN00049,PROD0094,3,802.82,10,2167.61
ITEM00137,TXN00049,PROD0489,2,285.02,15,484.53
ITEM00138,TXN00050,PROD0114,1,932.18,0,932.18
ITEM00139,TXN00050,PROD0291,1,271.95,10,244.75
ITEM00140,TXN00050,PROD0343,3,286.73,0,860.19
ITEM00141,TXN00050,PROD0348,3,390.6,10,1054.62
ITEM00142,TXN00051,PROD0476,2,615.75,10,1108.35
ITEM00143,TXN00051,PROD0158,3,733.35,0,2200.05
ITEM00144,TXN00051,PROD0470,3,710.9,15,1812.79
ITEM00145,TXN00052,PROD0021,1,208.72,0,208.72
ITEM00146,TXN00052,PROD0126,2,344.2,10,619.56
ITEM00147,TXN00052,PROD0435,2,295.42,15,502.21
ITEM00148,TXN00052,PROD0272,2,803.03,10,1445.45
ITEM00149,TXN00053,PROD0179,3,334.63,0,1003.89
ITEM00150,TXN00054,PROD0189,2,743.08,0,1486.16
ITEM00151,TXN00054,PROD0001,2,676.71,0,1353.42
ITEM00152,TXN00055,PROD0104,1,253.34,5,240.67
ITEM00153,TXN00055,PROD0362,1,786.54,10,707.89
ITEM00154,TXN00055,PROD0382,2,287.94,10,518.29
ITEM00155,TXN00055,PROD0047,1,344.57,10,310.11
ITEM00156,TXN00056,PROD0113,1,284.22,15,241.59
ITEM00157,TXN00056,PROD0135,3,929.4,15,2369.97
ITEM00158,TXN00056,PROD0276,3,384.06,10,1036.96
ITEM00159,TXN00057,PROD0271,2,193.28,15,328.58
ITEM00160,TXN00057,PROD0436,1,787.64,15,669.49
ITEM00161,TXN00057,PROD0339,2,853.87,15,1451.58
ITEM00162,TXN00057,PROD0174,1,468.0,15,397.8
ITEM00163,TXN00057,PROD0054,1,758.71,15,644.9
ITEM00164,TXN00058,PROD0461,2,872.55,10,1570.59
ITEM00165,TXN00058,PROD0295,3,909.25,15,2318.59
ITEM00166,TXN00058,PROD0330,1,244.22,5,232.01
ITEM00167,TXN00058,PROD0334,3,47.04,10,127.01
ITEM00168,TXN00059,PROD0260,2,303.89,10,547.0
ITEM00169,TXN00059,PROD0424,1,383.56,10,345.2
ITEM00170,TXN00059,PROD0025,2,440.33,5,836.63
ITEM00171,TXN00060,PROD0079,1,778.86,10,700.97
ITEM00172,TXN00060,PROD0056,3,313.61,5,893.79
ITEM00173,TXN00060,PROD0033,2,35.01,10,63.02
ITEM00174,TXN00060,PROD0325,3,321.42,5,916.05
ITEM00175,TXN00060,PROD0061,3,38.73,15,98.76
ITEM00176,TXN00061,PROD0263,2,580.62,5,1103.18
ITEM00177,TXN00061,PROD0095,2,455.9,10,820.62
ITEM00178,TXN00061,PROD0027,3,762.77,10,2059.48
ITEM00179,TXN00061,PROD0314,2,103.71,5,197.05
ITEM00180,TXN00062,PROD0020,3,759.91,10,2051.76
ITEM00181,TXN00062,PROD0165,2,41.35,15,70.3
ITEM00182,TXN00062,PROD0359,3,530.32,10,1431.86
ITEM00183,TXN00062,PROD0094,1,802.82,0,802.82
ITEM00184,TXN00062,PROD0105,2,34.2,5,64.98
ITEM00185,TXN00063,PROD0340,3,276.2,15,704.31
ITEM00186,TXN00063,PROD0199,3,179.46,15,457.62
ITEM00187,TXN00063,PROD0476,1,615.75,0,615.75
ITEM00188,TXN00063,PROD0003,2,768.81,5,1460.74
ITEM00189,TXN00064,PROD0233,3,182.18,0,546.54
ITEM00190,TXN00064,PROD0084,1,566.55,15,481.57
ITEM00191,TXN00064,PROD0452,1,826.46,5,785.14
ITEM00192,TXN00064,PROD0366,2,130.13,5,247.25
ITEM00193,TXN00065,PROD0007,2,890.49,0,1780.98
ITEM00194,TXN00065,PROD0329,2,137.43,15,233.63
ITEM00195,TXN00065,PROD0297,2,514.57,10,926.23
ITEM00196,TXN00065,PROD0376,2,384.31,5,730.19
ITEM00197,TXN00066,PROD0032,3,818.7,5,2333.3
ITEM00198,TXN00066,PROD0397,3,742.04,0,2226.12
ITEM00199,TXN00066,PROD0321,2,592.07,15,1006.52
ITEM00200,TXN00066,PROD0277,2,592.97,5,1126.64
ITEM00201,TXN00066,PROD0431,2,308.25,10,554.85
ITEM00202,TXN00067,PROD0144,2,200.83,5,381.58
ITEM00203,TXN00067,PROD0168,2,426.12,10,767.02
ITEM00204,TXN00067,PROD0378,2,904.99,10,1628.98
ITEM00205,TXN00068,PROD0390,1,830.71,15,706.1
ITEM00206,TXN00068,PROD0053,3,543.81,15,1386.72
ITEM00207,TXN00068,PROD0442,3,778.08,5,2217.53
ITEM00208,TXN00068,PROD0194,3,310.28,10,837.76
ITEM00209,TXN00069,PROD0431,1,308.25,0,308.25
ITEM00210,TXN00069,PROD0360,1,444.92,10,400.43
ITEM00211,TXN00069,PROD0011,1,832.8,0,832.8
ITEM00212,TXN00070,PROD0079,3,778.86,0,2336.58
ITEM00213,TXN00070,PROD0277,1,592.97,0,592.97
ITEM00214,TXN00070,PROD0385,2,319.77,0,639.54
ITEM00215,TXN00070,PROD0434,3,526.52,0,1579.56
ITEM00216,TXN00070,PROD0225,3,724.11,5,2063.71
ITEM00217,TXN00071,PROD0155,3,308.5,10,832.95
ITEM00218,TXN00071,PROD0240,2,254.16,5,482.9
ITEM00219,TXN00071,PROD0334,3,47.04,15,119.95
ITEM00220,TXN00071,PROD0221,1,497.78,10,448.0
ITEM00221,TXN00072,PROD0048,2,773.64,0,1547.28
ITEM00222,TXN00072,PROD0493,2,868.66,0,1737.32
ITEM00223,TXN00072,PROD0475,3,16.9,0,50.7
ITEM00224,TXN00073,PROD0469,1,458.89,5,435.95
ITEM00225,TXN00074,PROD0335,3,785.86,5,2239.7
ITEM00226,TXN00075,PROD0250,2,438.96,5,834.02
ITEM00227,TXN00076,PROD0216,1,132.87,0,132.87
ITEM00228,TXN00076,PROD0026,2,170.2,15,289.34
ITEM00229,TXN00077,PROD0422,1,445.23,5,422.97
ITEM00230,TXN00077,PROD0416,2,690.86,5,1312.63
ITEM00231,TXN00077,PROD0251,2,349.16,15,593.57
ITEM00232,TXN00077,PROD0381,2,145.11,15,246.69
ITEM00233,TXN00077,PROD0048,1,773.64,10,696.28
ITEM00234,TXN00078,PROD0386,1,385.56,10,347.0
ITEM00235,TXN00078,PROD0248,1,45.98,15,39.08
ITEM00236,TXN00078,PROD0468,2,556.51,0,1113.02
ITEM00237,TXN00078,PROD0234,2,969.77,0,1939.54
ITEM00238,TXN00079,PROD0186,2,620.38,15,1054.65
ITEM00239,TXN00079,PROD0163,1,49.58,10,44.62
ITEM00240,TXN00079,PROD0163,3,49.58,10,133.87
ITEM00241,TXN00079,PROD0482,1,478.95,15,407.11
ITEM00242,TXN00079,PROD0049,3,647.37,15,1650.79
ITEM00243,TXN00080,PROD0267,2,635.33,15,1080.06
ITEM00244,TXN00080,PROD0381,3,145.11,10,391.8
ITEM00245,TXN00080,PROD0046,2,76.91,15,130.75
ITEM00246,TXN00081,PROD0129,2,999.47,10,1799.05
ITEM00247,TXN00081,PROD0272,2,803.03,5,1525.76
ITEM00248,TXN00081,PROD0098,2,682.61,0,1365.22
ITEM00249,TXN00082,PROD0083,2,161.44,0,322.88
ITEM00250,TXN00082,PROD0274,2,658.28,5,1250.73
ITEM00251,TXN00083,PROD0362,2,786.54,10,1415.77
ITEM00252,TXN00083,PROD0391,2,862.14,5,1638.07
ITEM00253,TXN00084,PROD0380,1,291.69,10,262.52
ITEM00254,TXN00084,PROD0350,1,28.0,0,28.0
ITEM00255,TXN00085,PROD0199,1,179.46,0,179.46
ITEM00256,TXN00085,PROD0083,2,161.44,10,290.59
ITEM00257,TXN00085,PROD0071,1,701.14,5,666.08
ITEM00258,TXN00086,PROD0163,3,49.58,0,148.74
ITEM00259,TXN00086,PROD0315,2,984.29,0,1968.58
ITEM00260,TXN00086,PROD0485,1,342.1,15,290.79
ITEM00261,TXN00087,PROD0098,1,682.61,5,648.48
ITEM00262,TXN00087,PROD0442,2,778.08,0,1556.16
ITEM00263,TXN00087,PROD0329,1,137.43,5,130.56
ITEM00264,TXN00087,PROD0012,2,669.95,10,1205.91
ITEM00265,TXN00087,PROD0357,2,564.93,15,960.38
ITEM00266,TXN00088,PROD0230,1,549.41,10,494.47
ITEM00267,TXN00088,PROD0042,3,868.46,0,2605.38
ITEM00268,TXN00089,PROD0261,1,985.43,5,936.16
